parentZ,parentN,A,parent state,daughterZ,daughterN,daughter2Jpi,Energy(MeV),Ex.(MeV),logf0t(Qexp), logf0t(Qtho)
12,22,34,Mg34(j0p),13,21,4-,-160.435,1.147,7.77,7.54
12,22,34,Mg34(j0p),13,21,4-,-159.510,2.072,8.38,8.13
12,22,34,Mg34(j0p),13,21,2-,-158.534,3.048,8.45,8.13
12,22,34,Mg34(j0p),13,21,4-,-157.687,3.895,7.92,7.62
12,22,34,Mg34(j0p),13,21,4-,-157.202,4.380,7.34,7.03
12,22,34,Mg34(j0p),13,21,0-,-156.675,4.907,6.81,6.87
12,22,34,Mg34(j0p),13,21,2-,-156.572,5.010,7.56,7.27
12,22,34,Mg34(j0p),13,21,2-,-156.512,5.070,8.45,8.20
12,22,34,Mg34(j0p),13,21,4-,-156.046,5.536,9.84,9.48
12,22,34,Mg34(j0p),13,21,4-,-155.825,5.757,8.82,8.45
12,22,34,Mg34(j0p),13,21,2-,-155.752,5.830,8.29,8.12
12,22,34,Mg34(j0p),13,21,0-,-155.365,6.217,6.77,6.83
12,22,34,Mg34(j0p),13,21,2-,-155.201,6.381,8.37,8.18
12,22,34,Mg34(j0p),13,21,4-,-154.981,6.601,8.93,8.51
12,22,34,Mg34(j0p),13,21,2-,-154.973,6.609,7.62,7.20
12,22,34,Mg34(j0p),13,21,0-,-154.503,7.079,6.06,6.12
12,22,34,Mg34(j0p),13,21,4-,-154.448,7.134,8.76,8.30
12,22,34,Mg34(j0p),13,21,2-,-154.402,7.180,9.47,9.21
12,22,34,Mg34(j0p),13,21,0-,-154.131,7.451,7.33,7.39
12,22,34,Mg34(j0p),13,21,4-,-154.041,7.541,10.66,10.16
12,22,34,Mg34(j0p),13,21,2-,-153.809,7.773,8.41,8.18
12,22,34,Mg34(j0p),13,21,4-,-153.776,7.806,9.57,9.05
12,22,34,Mg34(j0p),13,21,2-,-153.484,8.098,8.50,8.26
12,22,34,Mg34(j0p),13,21,4-,-153.482,8.100,9.95,9.40
12,22,34,Mg34(j0p),13,21,4-,-153.331,8.251,15.37,14.80
12,22,34,Mg34(j0p),13,21,2-,-153.305,8.277,9.89,9.31
12,22,34,Mg34(j0p),13,21,4-,-152.999,8.583,11.19,10.57
12,22,34,Mg34(j0p),13,21,2-,-152.742,8.840,8.31,8.13
12,22,34,Mg34(j0p),13,21,4-,-152.717,8.865,9.63,8.97
12,22,34,Mg34(j0p),13,21,2-,-152.712,8.870,10.29,10.12
12,22,34,Mg34(j0p),13,21,0-,-152.570,9.012,7.56,7.61
12,22,34,Mg34(j0p),13,21,2-,-152.502,9.080,9.30,9.15
12,22,34,Mg34(j0p),13,21,2-,-152.193,9.389,9.83,9.56
12,22,34,Mg34(j0p),13,21,0-,-152.066,9.516,10.85,10.89
12,22,34,Mg34(j0p),13,21,2-,-151.549,10.033,9.66,9.29
12,22,34,Mg34(j0p),13,21,0-,-150.356,11.226,8.66,8.72
12,22,34,Mg34(j0p),13,21,0-,-149.991,11.591,-,10.03
12,22,34,Mg34(j0p),13,21,0-,-149.242,12.340,-,11.76
12,22,34,Mg34(j0p),13,21,0-,-148.729,12.853,-,8.29
12,22,34,Mg34(j0p),13,21,0-,-148.419,13.163,-,7.80
12,22,34,Mg34(j0p),13,21,0-,-148.033,13.549,-,8.50
12,22,34,Mg34(j0p),13,21,0-,-147.539,14.043,-,9.17
12,22,34,Mg34(j0p),13,21,0-,-147.040,14.542,-,-
12,22,34,Mg34(j0p),13,21,0-,-146.831,14.751,-,-
12,23,35,Mg35(j3n),13,22,5+,-166.653,0.000,7.70,7.63
12,23,35,Mg35(j3n),13,22,7+,-165.325,1.328,8.14,8.05
12,23,35,Mg35(j3n),13,22,3+,-164.764,1.889,7.43,7.38
12,23,35,Mg35(j3n),13,22,1+,-164.708,1.945,8.33,8.25
12,23,35,Mg35(j3n),13,22,5+,-164.476,2.177,7.67,7.57
12,23,35,Mg35(j3n),13,22,5+,-163.505,3.148,9.21,9.11
12,23,35,Mg35(j3n),13,22,7+,-163.497,3.156,8.21,8.12
12,23,35,Mg35(j3n),13,22,3+,-163.374,3.279,7.81,7.78
12,23,35,Mg35(j3n),13,22,1+,-163.248,3.405,7.23,7.14
12,23,35,Mg35(j3n),13,22,7+,-163.169,3.484,9.60,9.51
12,23,35,Mg35(j3n),13,22,3+,-163.118,3.535,7.34,7.26
12,23,35,Mg35(j3n),13,22,5+,-162.579,4.074,7.20,7.10
12,23,35,Mg35(j3n),13,22,5+,-162.427,4.226,7.16,7.06
12,23,35,Mg35(j3n),13,22,1+,-162.273,4.380,9.33,9.23
12,23,35,Mg35(j3n),13,22,3+,-162.271,4.382,7.76,7.72
12,23,35,Mg35(j3n),13,22,7+,-162.148,4.505,8.80,8.70
12,23,35,Mg35(j3n),13,22,7+,-161.806,4.847,8.52,8.42
12,23,35,Mg35(j3n),13,22,3+,-161.783,4.870,7.22,7.24
12,23,35,Mg35(j3n),13,22,5+,-161.584,5.069,8.39,8.30
12,23,35,Mg35(j3n),13,22,7+,-161.579,5.074,8.58,8.47
12,23,35,Mg35(j3n),13,22,5+,-161.526,5.127,8.70,8.59
12,23,35,Mg35(j3n),13,22,3+,-161.304,5.349,6.40,6.43
12,23,35,Mg35(j3n),13,22,7+,-161.283,5.370,9.23,9.12
12,23,35,Mg35(j3n),13,22,3+,-161.105,5.548,6.81,6.80
12,23,35,Mg35(j3n),13,22,1+,-161.002,5.651,7.84,7.74
12,23,35,Mg35(j3n),13,22,7+,-160.903,5.750,9.64,9.52
12,23,35,Mg35(j3n),13,22,5+,-160.883,5.770,7.74,7.63
12,23,35,Mg35(j3n),13,22,7+,-160.744,5.909,8.64,8.53
12,23,35,Mg35(j3n),13,22,5+,-160.736,5.917,7.65,7.54
12,23,35,Mg35(j3n),13,22,3+,-160.643,6.010,8.06,8.09
12,23,35,Mg35(j3n),13,22,1+,-160.631,6.022,8.30,8.18
12,23,35,Mg35(j3n),13,22,5+,-160.607,6.046,9.01,8.89
12,23,35,Mg35(j3n),13,22,7+,-160.490,6.163,10.31,10.19
12,23,35,Mg35(j3n),13,22,3+,-160.456,6.197,7.99,7.95
12,23,35,Mg35(j3n),13,22,5+,-160.396,6.257,8.25,8.12
12,23,35,Mg35(j3n),13,22,5+,-160.390,6.263,8.01,7.89
12,23,35,Mg35(j3n),13,22,1+,-160.386,6.267,6.66,6.69
12,23,35,Mg35(j3n),13,22,7+,-160.375,6.278,10.17,10.04
12,23,35,Mg35(j3n),13,22,5+,-160.205,6.448,8.69,8.57
12,23,35,Mg35(j3n),13,22,7+,-160.183,6.470,9.58,9.46
12,23,35,Mg35(j3n),13,22,5+,-160.138,6.515,8.15,8.03
12,23,35,Mg35(j3n),13,22,7+,-160.026,6.627,7.80,7.67
12,23,35,Mg35(j3n),13,22,7+,-159.932,6.721,9.54,9.41
12,23,35,Mg35(j3n),13,22,3+,-159.928,6.725,7.97,8.00
12,23,35,Mg35(j3n),13,22,1+,-159.915,6.738,8.66,8.56
12,23,35,Mg35(j3n),13,22,5+,-159.871,6.782,8.18,8.06
12,23,35,Mg35(j3n),13,22,3+,-159.560,7.093,7.88,7.90
12,23,35,Mg35(j3n),13,22,7+,-159.534,7.119,9.26,9.13
12,23,35,Mg35(j3n),13,22,3+,-159.450,7.203,7.06,7.08
12,23,35,Mg35(j3n),13,22,1+,-159.181,7.472,8.66,8.58
12,23,35,Mg35(j3n),13,22,3+,-159.107,7.546,8.02,8.05
12,23,35,Mg35(j3n),13,22,1+,-159.053,7.600,8.41,8.30
12,23,35,Mg35(j3n),13,22,1+,-158.947,7.706,9.04,8.89
12,23,35,Mg35(j3n),13,22,1+,-158.690,7.963,10.20,10.05
12,23,35,Mg35(j3n),13,22,1+,-158.356,8.297,8.62,8.51
12,23,35,Mg35(j3n),13,22,1+,-157.845,8.808,9.87,9.74
12,23,35,Mg35(j3n),13,22,1+,-157.627,9.026,9.75,9.61
12,23,35,Mg35(j3n),13,22,1+,-157.474,9.179,9.53,9.36
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-166.653,0.000,7.33,7.23
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-165.325,1.328,8.49,8.37
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-165.083,1.570,8.44,8.34
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-164.764,1.889,7.64,7.53
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-164.708,1.945,9.09,8.98
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-164.476,2.177,7.53,7.54
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-163.562,3.091,8.48,8.37
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-163.505,3.148,8.88,8.85
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-163.497,3.156,7.63,7.51
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-163.374,3.279,8.14,8.05
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-163.248,3.405,7.34,7.23
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-163.169,3.484,8.40,8.32
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-163.118,3.535,7.54,7.42
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-162.813,3.840,8.84,8.73
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-162.579,4.074,7.05,7.04
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-162.427,4.226,7.12,7.10
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-162.398,4.255,9.35,9.23
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-162.273,4.380,9.07,8.95
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-162.271,4.382,8.00,7.89
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-162.148,4.505,8.32,8.20
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-161.816,4.837,8.19,8.07
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-161.806,4.847,8.11,7.99
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-161.783,4.870,8.29,8.17
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-161.584,5.069,7.80,7.80
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-161.579,5.074,8.68,8.55
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-161.526,5.127,8.77,8.67
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-161.461,5.192,7.42,7.29
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-161.354,5.299,8.98,8.85
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-161.304,5.349,7.64,7.50
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-161.283,5.370,8.57,8.45
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-161.105,5.548,7.38,7.26
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-161.002,5.651,7.95,7.81
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-160.903,5.750,8.54,8.42
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-160.902,5.751,8.57,8.44
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.883,5.770,6.50,6.54
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-160.744,5.909,8.33,8.19
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.736,5.917,7.66,7.56
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-160.643,6.010,8.72,8.58
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-160.631,6.022,8.60,8.46
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.607,6.046,8.00,8.03
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-160.500,6.153,9.05,8.91
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-160.490,6.163,8.52,8.37
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-160.487,6.166,8.93,8.78
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-160.456,6.197,8.48,8.37
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.396,6.257,7.62,7.57
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.390,6.263,7.23,7.26
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-160.386,6.267,7.90,7.78
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-160.375,6.278,8.03,7.88
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-160.333,6.320,9.13,8.98
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.205,6.448,7.64,7.68
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-160.183,6.470,8.61,8.46
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,5+,-160.138,6.515,7.24,7.27
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,9+,-160.077,6.576,9.16,9.01
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-160.026,6.627,7.80,7.66
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,7+,-159.932,6.721,8.91,8.75
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,3+,-159.928,6.725,9.45,9.29
12,23,35,Mg35(j5nEx.=0.33 MeV),13,22,1+,-159.915,6.738,8.40,8.25
