parentZ,parentN,A,parent state,daughterZ,daughterN,daughter2Jpi,Energy(MeV),Ex.(MeV),logf0t(Qexp), logf0t(Qtho)
19,22,41,K41(j3p),20,21,7-,-288.744,0.000,-,-
19,22,41,K41(j3p),20,21,3-,-285.800,2.944,-,-
19,22,41,K41(j3p),20,21,1-,-283.957,4.787,-,-
19,22,41,K41(j3p),20,21,5-,-281.503,7.241,-,-
19,23,42,K42(j6n),20,22,4+,-298.556,0.978,7.50,7.58
19,23,42,K42(j6n),20,22,8+,-297.574,1.960,8.36,8.51
19,23,42,K42(j6n),20,22,4+,-295.147,4.387,-,-
19,23,42,K42(j6n),20,22,8+,-294.627,4.907,-,-
19,23,42,K42(j6n),20,22,6+,-294.325,5.209,-,-
19,23,42,K42(j6n),20,22,10+,-293.874,5.660,-,-
19,23,42,K42(j6n),20,22,8+,-292.713,6.821,-,-
19,23,42,K42(j6n),20,22,6+,-292.156,7.378,-,-
19,23,42,K42(j6n),20,22,4+,-291.770,7.764,-,-
19,23,42,K42(j6n),20,22,4+,-290.396,9.138,-,-
19,23,42,K42(j6n),20,22,2+,-290.209,9.325,-,-
19,23,42,K42(j6n),20,22,4+,-289.872,9.662,-,-
19,23,42,K42(j6n),20,22,8+,-289.628,9.906,-,-
19,23,42,K42(j6n),20,22,6+,-289.391,10.143,-,-
19,23,42,K42(j6n),20,22,10+,-289.321,10.213,-,-
19,23,42,K42(j6n),20,22,2+,-289.184,10.350,-,-
19,23,42,K42(j6n),20,22,8+,-287.313,12.221,-,-
19,23,42,K42(j6n),20,22,2+,-286.829,12.705,-,-
19,23,42,K42(j6n),20,22,6+,-286.785,12.749,-,-
19,23,42,K42(j6n),20,22,4+,-286.721,12.813,-,-
19,23,42,K42(j6n),20,22,4+,-285.673,13.861,-,-
19,23,42,K42(j6n),20,22,6+,-284.820,14.714,-,-
19,23,42,K42(j6n),20,22,4+,-283.235,16.299,-,-
19,23,42,K42(j6n),20,22,8+,-282.971,16.563,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,0+,-299.534,0.000,8.45,8.68
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-298.556,0.978,8.14,8.17
19,23,42,K42(j4nEx.=0.01 MeV),20,22,8+,-297.574,1.960,10.63,11.23
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-295.147,4.387,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,8+,-294.627,4.907,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,6+,-294.325,5.209,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,0+,-292.976,6.558,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,8+,-292.713,6.821,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,6+,-292.156,7.378,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-291.770,7.764,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-290.396,9.138,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,2+,-290.209,9.325,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-289.872,9.662,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,8+,-289.628,9.906,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,6+,-289.391,10.143,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,2+,-289.184,10.350,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,0+,-287.698,11.836,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,8+,-287.313,12.221,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,2+,-286.829,12.705,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,6+,-286.785,12.749,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-286.721,12.813,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-285.673,13.861,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,6+,-284.820,14.714,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,0+,-283.739,15.795,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,4+,-283.235,16.299,-,-
19,23,42,K42(j4nEx.=0.01 MeV),20,22,8+,-282.971,16.563,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-298.556,0.978,8.76,8.98
19,23,42,K42(j8nEx.=0.26 MeV),20,22,8+,-297.574,1.960,7.24,7.23
19,23,42,K42(j8nEx.=0.26 MeV),20,22,12+,-297.133,2.401,9.63,10.22
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-295.147,4.387,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,8+,-294.627,4.907,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,6+,-294.325,5.209,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,10+,-293.874,5.660,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,8+,-292.713,6.821,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,6+,-292.156,7.378,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-291.770,7.764,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,12+,-291.055,8.479,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-290.396,9.138,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-289.872,9.662,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,8+,-289.628,9.906,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,6+,-289.391,10.143,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,10+,-289.321,10.213,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,8+,-287.313,12.221,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,6+,-286.785,12.749,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-286.721,12.813,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-285.673,13.861,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,6+,-284.820,14.714,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,4+,-283.235,16.299,-,-
19,23,42,K42(j8nEx.=0.26 MeV),20,22,8+,-282.971,16.563,-,-
19,24,43,K43(j3p),20,23,5-,-307.997,0.000,7.93,7.94
19,24,43,K43(j3p),20,23,7-,-307.921,0.076,9.44,9.43
19,24,43,K43(j3p),20,23,3-,-307.319,0.678,6.12,6.12
19,24,43,K43(j3p),20,23,3-,-305.000,2.997,-,-
19,24,43,K43(j3p),20,23,3-,-304.511,3.486,-,-
